科幻,#genre#
釜山行/2016,https://vip.ffzy-play7.com/20221231/10520_3d5b9613/index.m3u8
活着/2020,https://api.heimuer.app/play/bdfb87c9134444619c90a1a9afce0230.m3u8
急冻奇侠/1989,https://api.heimuer.app/play/4526e014e7524c3bbc43c14603321b56.m3u8
流浪地球/2019,https://api.heimuer.app/play/4271c23880154849ae68a567cf013039.m3u8
流浪地球2/2023,https://api.heimuer.app/play/0251a5945cc44fa69c612a0bd5db521b.m3u8
全城戒备/2010,https://vip.ffzy-play6.com/20221127/8667_2f05d643/index.m3u8
我的机器人女友/2008,https://api.heimuer.app/play/96aa0d3690644b7d846e03704d8344e4.m3u8
2001: A Space Odyssey/1968,https://vip.ffzy-play7.com/20230219/15343_35970287/index.m3u8
2012/2009,https://cdn7.yzzy-online.com/20220802/9787_c46a0def/index.m3u8
AI/2001,https://vip.ffzy-play6.com/20221018/52_d150972f/index.m3u8
Alien/1979,https://cdn2.yzzy-online.com/20220502/17819_e4885ea6/index.m3u8
Aliens/1986,https://api.heimuer.app/play/511124d387384772a093962bdc961347.m3u8
Alien 3/1992,https://vip.ffzy-play7.com/20230217/15000_eab7f913/index.m3u8
Alien Resurrection/1997,https://api.heimuer.app/play/455e7042e7a94a85bde3a2678e0f0bda.m3u8
Alien Vs Predator/2004,https://vip.ffzy-play2.com/20221127/1629_7eb1e91c/index.m3u8
Armageddon/1998,https://cdn17.yzzy-online.com/20230731/14007_b1fcdfad/index.m3u8
Arrival/2016,https://api.heimuer.app/play/3d21901e5fc04adf845a22be6d6eb1d6.m3u8
Avatar/2009,https://api.heimuer.app/play/9f05b35711ec4e2191ab1ce157387d72.m3u8
Avatar 2/2022,https://api.heimuer.app/play/b2a7818dcc2b46e8a4b3c15f091eba23.m3u8
Back To The Future/1985,https://api.heimuer.app/play/61fefbc7915a4f11b2baa4c176c0842f.m3u8
Back To The Future 2/1989,https://api.heimuer.app/play/68a558f1ef2044179abc3960e4529869.m3u8
Back To The Future 3/1990,https://api.heimuer.app/play/976d290ad318421fb46121b40aabc80c.m3u8
Battleship/2012,https://vip.ffzy-play6.com/20221019/135_b8c14016/index.m3u8
Contact/1997,https://vip.ffzy-play7.com/20221112/3773_303347de/index.m3u8
Deep Impact/1998,https://vip.ffzy-play6.com/20221112/6126_05ac5ce3/index.m3u8
Deja Vu/2006,https://vip.ffzy-play7.com/20230217/15097_4686ddbf/index.m3u8
E.T. The Extra-Terrestrial/1982,https://vip.ffzy-play6.com/20221128/8878_271078d7/index.m3u8
Eagle Eye/2008,https://vip.ffzy-play6.com/20221102/3741_736f0338/index.m3u8
Edge Of Tomorrow/2014,https://api.heimuer.app/play/d00a6f4967c64839bb4fd1b11218ec4c.m3u8
Elysium/2013,https://vip.ffzy-play7.com/20221227/10044_f37fc67c/index.m3u8
Faster Than Light(FTL)/2017,https://www.youtube.com/watch?v=JIUIh7dxlnI
Final Fantasy: The Spirits Within/2001,https://vip.ffzy-play7.com/20230219/15342_0aa73f50/index.m3u8
Frequency/2000,https://vip.ffzy-play7.com/20230219/15354_7546522d/index.m3u8
Geostorm/2017,https://api.heimuer.app/play/433d5cca53554f0292f9a4607b63a8e9.m3u8
Godzilla/1998,https://vip.ffzy-play7.com/20221227/9939_acf4b954/index.m3u8
Gravity/2013,https://vip.ffzy-play6.com/20221019/143_aa57208d/index.m3u8
Hancock/2008,https://vip.ffzy-play7.com/20221230/10447_a048f38f/index.m3u8
Highlander/1986,https://vip.ffzy-play7.com/20230427/23242_7aa9f9cc/index.m3u8
Hollow Man/2000,https://vip.ffzy-play7.com/20230216/14960_49a8acab/index.m3u8
I Am Legend/2007,https://vip.ffzy-play6.com/20221022/1009_0cab4a4e/index.m3u8
I Robot/2004,https://api.heimuer.app/play/2246f4cb9a9d456bbe4a2b08772e67b5.m3u8
Impostor/2001,https://vip.ffzy-play6.com/20221024/1702_4fd33a8e/index.m3u8
In Time/2011,https://vip.ffzy-play6.com/20221205/9925_2b21d564/index.m3u8
Inception/2010,https://api.heimuer.app/play/450fe143e64e4f5e8110d3c5bee3eac2.m3u8
Independence Day/1996,https://vip.ffzy-play7.com/20221228/10087_1d52951f/index.m3u8
Interstellar/2014,https://api.heimuer.app/play/f9b471ddd1ee425bb3c64a24f82561be.m3u8
Iron Man/2008,https://vip.ffzy-play7.com/20221230/10412_2eaf4603/index.m3u8
John Carter/2012,https://vip.ffzy-online2.com/20230601/38656_a5d93ddf/index.m3u8
Jumper/2008,https://vip.ffzy-play6.com/20221104/4110_987f2693/index.m3u8
Jurassic Park/1993,https://vip.ffzy-play7.com/20221129/7750_cb13ad5a/index.m3u8
Jurassic Park: The Lost World/1997,https://vip.ffzy-play6.com/20221206/10574_1bd31cc0/index.m3u8
Knowing/2009,https://vip.ffzy-play6.com/20221127/8693_62a0af99/index.m3u8
Kong: Skull Island/2017,https://api.heimuer.app/play/6189acf7bec94148afef4773223cc10f.m3u8
Lockout/2012,https://vip.ffzy-play6.com/20221021/555_665cfcc0/index.m3u8
Looper/2012,https://vip.ffzy-play7.com/20230118/11921_bcbde71f/index.m3u8
Lucy/2014,https://vip.lzcdn2.com/20220324/343_797f10ed/index.m3u8
Man Of Steel/2013,https://vip.ffzy-play6.com/20221019/137_bc57efe9/index.m3u8
Minority Report/2002,https://vip.ffzy-play6.com/20221020/231_cafe3ddc/index.m3u8
Mission To Mars/2000,https://vip.ffzy-play7.com/20230219/15220_8035c6f9/index.m3u8
Moonfall/2022,https://vip.ffzy-play6.com/20221122/7872_8e5b7e16/index.m3u8
Next/2007,https://vip.ffzy-play6.com/20221207/10860_ebbf1ba8/index.m3u8
Oblivion/2013,https://vip1.lz-cdn1.com/20220524/6655_23414ce9/index.m3u8
Outlander/2008,https://vip.ffzy-play6.com/20221127/8627_a0a83747/index.m3u8
Pandorum/2009,https://vip.ffzy-play6.com/20221127/8689_9a6e4695/index.m3u8
Passengers/2016,https://vip.ffzy-play7.com/20230214/14727_62d75398/index.m3u8
Planet Of The Apes/2001,https://vip.ffzy-play6.com/20221126/8553_c35d95eb/index.m3u8
Predator/1987,https://vip.ffzy-play7.com/20230219/15235_17aab53d/index.m3u8
Replicas/2018,https://v.cdnlz12.com/20230903/9841_70ddb4ac/index.m3u8
Resident Evil/2002,https://api.heimuer.app/play/ba45b450a86c4288a0250553ba424366.m3u8
Resident Evil Apocalypse/2004,https://api.heimuer.app/play/870faa063944490883e9fe57a51f10d3.m3u8
Resident Evil Extinction/2007,https://api.heimuer.app/play/62ee462b589e40cd852f8bf05e0a73fd.m3u8
Riddick: Pitch Black/2000,https://vip.ffzy-play6.com/20221019/125_6bdcfbf3/index.m3u8
Riddick: The Chronicles of Riddick/2004,https://vip.ffzy-play6.com/20221019/126_de2ed62b/index.m3u8
Rise Of The Planet Of The Apes/2011,https://vip.ffzy-play7.com/20221229/10364_613713b0/index.m3u8
Serenity/2005,https://vip.ffzy-play6.com/20221021/637_b5837587/index.m3u8
